Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000117199417675082,-3.05975474124143E-09,0.0223035723181941,0,0,0,0.0979582534406825,0.000130552228522341,-2.22674811046477E-11,3.99226744269731E-06,0.000140414184143385,4.13550991731117E-13,0.000212143374979004,0,0,0,0,0,0,package://mocha/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://mocha/meshes/base_link.STL,,Base-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
waist,0.00169136098501852,0.00660819498532267,0.0133947545307733,0,0,0,0.0684427129118219,4.56870454663408E-05,-3.78506837372467E-07,-6.20385180122017E-06,5.87238842271773E-05,-5.19129521124936E-06,5.50839190250212E-05,0,0,0,0,0,0,package://mocha/meshes/waist.STL,1,1,1,1,0,0,0,0,0,0,package://mocha/meshes/waist.STL,,Waist-1,Coordinate System12,Axis11,waist_joint,revolute,0,0,0.06,0,0,0,base_link,0,0,1,0.5,2,-1.57,1.57,,,,,,,,
lower_arm,3.93901868173032E-07,0.0592049065989172,0.00178916982484342,0,0,0,0.0651630231570887,0.0001091601766917,1.57817877665133E-12,-1.63546197405558E-10,9.28177418562022E-06,2.43213344379075E-07,0.000114063850988314,0,0,0,0,0,0,package://mocha/meshes/lower_arm.STL,1,1,1,1,0,0,0,0,0,0,package://mocha/meshes/lower_arm.STL,,Lower_arm-1,Coordinate System2,Axis2,lower_arm_joint,revolute,0.014,-0.002,0.036,1.5708,0,0,waist,0,0,-1,0.5,2,-1.57,1.57,,,,,,,,
upper_arm,2.73149762194391E-05,-0.0392975972882241,-0.0134097745057252,0,0,0,0.0516349186566131,5.57007690316697E-05,7.13258826752884E-08,-1.33389234030937E-10,9.57834353936765E-06,-2.93374413537984E-07,5.94244390323794E-05,0,0,0,0,0,0,package://mocha/meshes/upper_arm.STL,1,1,1,1,0,0,0,0,0,0,package://mocha/meshes/upper_arm.STL,,Upper_arm-1,Coordinate System3,Axis3,upper_arm_joint,revolute,0,0.12,0,0,0,1.5708,lower_arm,0,0,-1,0.5,2,-1.57,1.57,,,,,,,,
wrist,-0.000251495550924491,-0.0083404809422172,0.107614818148418,0,0,0,0.0171876871003583,4.13711327481054E-06,4.3006748459359E-09,1.26235492993703E-08,5.26929296743607E-06,-6.19224470166822E-07,2.72952486208993E-06,0,0,0,0,0,0,package://mocha/meshes/wrist.STL,1,1,1,1,0,0,0,0,0,0,package://mocha/meshes/wrist.STL,,Wrist-1,Coordinate System4,Axis12,wrist_joint,revolute,0,0,0,1.5708,0,0,upper_arm,0,0,-1,0.5,2,-1.57,1.57,,,,,,,,
gripper_base,-0.0235511395842871,-0.00581676654887205,-0.00697660952907593,0,0,0,0.016035839168366,2.61166695995785E-06,-1.39141263089559E-06,-1.45711892942644E-06,8.27807706460361E-06,-3.57354311122567E-07,7.39239283095659E-06,0,0,0,0,0,0,package://mocha/meshes/gripper_base.STL,1,1,1,1,0,0,0,0,0,0,package://mocha/meshes/gripper_base.STL,,Gripper_base-1,Coordinate System5,Axis4,gripper_base_joint,revolute,-0.0003,0.0055,0.11815,-1.5708,0,0,wrist,0,0,1,0.5,2,0,3.14,,,,,,,,
right_gear,0.000862162528650318,0.00554450246517772,0.002,0,0,0,0.00269444555032233,3.71793221229667E-07,-3.66151898287318E-09,-3.11247770814466E-22,9.15764277476901E-08,-4.18219490705315E-22,4.56184460843164E-07,0,0,0,0,0,0,package://mocha/meshes/right_gear.STL,1,1,1,1,0,0,0,0,0,0,package://mocha/meshes/right_gear.STL,,Gear_1-1,Coordinate System6,Axis6,right_gear_joint,revolute,-0.038,-0.0215,0.004,1.5708,0,3.1416,gripper_base,0,0,-1,0.5,2,0,3.14,,,,,,,,
right_finger,0.0267479392094104,-0.00529029293468648,0.00825002259150889,0,0,0,0.00550542078574704,1.15006391171339E-07,1.91197506802569E-07,-1.71052844021085E-12,1.69947685318375E-06,1.42084945996662E-11,1.74818882959069E-06,0,0,0,0,0,0,package://mocha/meshes/right_finger.STL,1,1,1,1,0,0,0,0,0,0,package://mocha/meshes/right_finger.STL,,Gripper-2,Coordinate System11,Axis10,right_finger_joint,revolute,0.0014378,0.030716,0,0,0,0,right_gear,0,0,-1,0.5,2,0,3.14,,,,,,,,
left_gear,0.000868914166758522,-0.00563101926893944,-0.002,0,0,0,0.00261717686273073,3.70848537895313E-07,3.28405598542026E-09,-3.23827368834952E-22,9.12164029816256E-08,-4.58013781424372E-22,4.55085802576324E-07,0,0,0,0,0,0,package://mocha/meshes/left_gear.STL,1,1,1,1,0,0,0,0,0,0,package://mocha/meshes/left_gear.STL,,Gear_2-1,Coordinate System7,Axis5,left_gear_joint,revolute,-0.038,-0.0175,-0.0229,1.5708,0,3.1416,gripper_base,0,0,1,0.5,2,0,3.14,,,,,,,,
left_finger,0.0264952988065887,0.00643728187189994,0.00824997740849176,0,0,0,0.00550542088206421,1.34397312995325E-07,-2.58659921284749E-07,1.09467430768046E-12,1.68008574838117E-06,1.42676907042123E-11,1.74818864591621E-06,0,0,0,0,0,0,package://mocha/meshes/left_finger.STL,1,1,1,1,0,0,0,0,0,0,package://mocha/meshes/left_finger.STL,,Gripper-1,Coordinate System8,Axis7,left_finger_joint,revolute,0.0014378,-0.030716,-0.004,0,0,0,left_gear,0,0,1,0.5,2,0,3.14,,,,,,,,
right_link,0.00100774826959747,0.0154672054174738,0.00200000000000006,0,0,0,0.000814737661448385,1.04552091697251E-07,-6.57056810897569E-09,-1.39427938070675E-23,4.1332522394072E-09,-1.17131498885849E-22,1.06512710172796E-07,0,0,0,0,0,0,package://mocha/meshes/right_link.STL,1,1,1,1,0,0,0,0,0,0,package://mocha/meshes/right_link.STL,,Grip_link-2,Coordinate System10,Axis9,right_link_joint,revolute,-0.058,-0.0215,-0.004,1.5708,0,3.1416,gripper_base,0,0,-1,0.5,2,0,3.14,,,,,,,,
left_link,0.000830638506810533,-0.0154777272126691,0.002,0,0,0,0.000814737661448385,1.04689343606938E-07,5.41948795586974E-09,1.26001100056874E-24,3.99600032972003E-09,-1.15348736080485E-22,1.06512710172796E-07,0,0,0,0,0,0,package://mocha/meshes/left_link.STL,1,1,1,1,0,0,0,0,0,0,package://mocha/meshes/left_link.STL,,Grip_link-3,Coordinate System9,Axis8,left_link_joint,continuous,-0.058,-0.0215,-0.014,1.5708,0,3.1416,gripper_base,0,0,-1,0.5,2,0,3.14,,,,,,,,
